X--Trace 1::[Channel A],Y--Trace 1::[Channel A],Y--Trace 2::[Channel B]
0.00175901,10.4469,0.462839
0.00176901,10.4972,0.468563
0.00177901,10.5474,0.474317
0.00178901,10.5975,0.480101
0.00179901,10.6474,0.485915
0.00180901,10.6971,0.49176
0.00181901,10.7467,0.497634
0.00182901,10.7961,0.503538
0.00183901,10.8454,0.509472
0.00184901,10.8946,0.515435
0.00185901,10.9435,0.521428
0.00186901,10.9924,0.52745
0.00187901,11.041,0.533502
0.00188901,11.0895,0.539582
0.00189901,11.1379,0.545692
0.00190901,11.1861,0.55183
0.00191901,11.2341,0.557997
0.00192901,11.282,0.564192
0.00193901,11.3297,0.570416
0.00194901,11.3772,0.576668
0.00195901,11.4246,0.582949
0.00196901,11.4719,0.589257
0.00197901,11.5189,0.595594
0.00198901,11.5658,0.601958
0.00199901,11.6126,0.60835
0.00200901,11.6591,0.614769
0.00201901,11.7055,0.621216
0.00202901,11.7518,0.62769
0.00203901,11.7978,0.634191
0.00204901,11.8437,0.640719
0.00205901,11.8895,0.647274
0.00206901,11.9351,0.653856
0.00207901,11.9804,0.660464
0.00208901,12.0257,0.667099
0.00209901,12.0707,0.67376
0.00210901,12.1156,0.680447
0.00211901,12.1603,0.687161
0.00212901,12.2049,0.6939
0.00213901,12.2492,0.700665
0.00214901,12.2934,0.707456
0.00215901,12.3374,0.714272
0.00216901,12.3813,0.721114
0.00217901,12.425,0.727981
0.00218901,12.4684,0.734873
0.00219901,12.5118,0.74179
0.00220901,12.5549,0.748731
0.00221901,12.5978,0.755698
0.00222901,12.6406,0.762689
0.00223901,12.6832,0.769704
0.00224901,12.7256,0.776744
0.00225901,12.7679,0.783808
0.00226901,12.8099,0.790896
0.00227901,12.8518,0.798007
0.00228901,12.8935,0.805143
0.00229901,12.935,0.812302
0.00230901,12.9763,0.819484
0.00231901,13.0175,0.826689
0.00232901,13.0584,0.833918
0.00233901,13.0992,0.84117
0.00234901,13.1398,0.848445
0.00235901,13.1802,0.855742
0.00236901,13.2204,0.863062
0.00237901,13.2604,0.870404
0.00238901,13.3002,0.877768
0.00239901,13.3399,0.885155
0.00240901,13.3793,0.892564
0.00241901,13.4186,0.899994
0.00242901,13.4576,0.907446
0.00243901,13.4965,0.91492
0.00244901,13.5352,0.922415
0.00245901,13.5737,0.929931
0.00246901,13.612,0.937469
0.00247901,13.6501,0.945027
0.00248901,13.688,0.952606
0.00249901,13.7258,0.960206
0.00250901,13.7633,0.967826
0.00251901,13.8006,0.975467
0.00252901,13.8378,0.983128
0.00253901,13.8747,0.990809
0.00254901,13.9114,0.998509
0.00255901,13.948,1.00623
0.00256901,13.9843,1.01397
0.00257901,14.0205,1.02173
0.00258901,14.0564,1.02951
0.00259901,14.0922,1.03731
0.00260901,14.1277,1.04512
0.00261901,14.1631,1.05296
0.00262901,14.1982,1.06081
0.00263901,14.2332,1.06869
0.00264901,14.2679,1.07658
0.00265901,14.3024,1.08449
0.00266901,14.3368,1.09242
0.00267901,14.3709,1.10036
0.00268901,14.4048,1.10833
0.00269901,14.4385,1.11631
0.00270901,14.4721,1.12431
0.00271901,14.5054,1.13232
0.00272901,14.5385,1.14035
0.00273901,14.5714,1.1484
0.00274901,14.6041,1.15647
0.00275901,14.6366,1.16456
0.00276901,14.6688,1.17266
0.00277901,14.7009,1.18077
0.00278901,14.7328,1.1889
0.00279901,14.7644,1.19705
0.00280901,14.7958,1.20522
0.00281901,14.8271,1.2134
0.00282901,14.8581,1.22159
0.00283901,14.8889,1.22981
0.00284901,14.9195,1.23803
0.00285901,14.9499,1.24628
0.00286901,14.98,1.25453
0.00287901,15.01,1.2628
0.00288901,15.0397,1.27109
0.00289901,15.0693,1.27939
0.00290901,15.0986,1.28771
0.00291901,15.1277,1.29604
0.00292901,15.1566,1.30438
0.00293901,15.1853,1.31274
0.00294901,15.2137,1.32111
0.00295901,15.242,1.32949
0.00296901,15.27,1.33789
0.00297901,15.2978,1.3463
0.00298901,15.3254,1.35473
0.00299901,15.3527,1.36316
0.00300901,15.3799,1.37161
0.00301901,15.4068,1.38007
0.00302901,15.4335,1.38855
0.00303901,15.46,1.39704
0.00304901,15.4863,1.40554
0.00305901,15.5124,1.41405
0.00306901,15.5382,1.42257
0.00307901,15.5638,1.4311
0.00308901,15.5892,1.43965
0.00309901,15.6144,1.44821
0.00310901,15.6393,1.45678
