X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.110149,-10.7302,,0.110149,3.43191
0.110159,-10.7797,,0.110159,3.43338
0.110169,-10.829,,0.110169,3.43484
0.110179,-10.8782,,0.110179,3.43629
0.110189,-10.9272,,0.110189,3.43773
0.110199,-10.9761,,0.110199,3.43917
0.110209,-11.0248,,0.110209,3.44059
0.110219,-11.0734,,0.110219,3.44201
0.110229,-11.1218,,0.110229,3.44342
0.110239,-11.17,,0.110239,3.44481
0.110249,-11.2181,,0.110249,3.4462
0.110259,-11.266,,0.110259,3.44758
0.110269,-11.3138,,0.110269,3.44895
0.110279,-11.3614,,0.110279,3.45031
0.110289,-11.4088,,0.110289,3.45167
0.110299,-11.4561,,0.110299,3.45301
0.110309,-11.5032,,0.110309,3.45434
0.110319,-11.5502,,0.110319,3.45567
0.110329,-11.597,,0.110329,3.45698
0.110339,-11.6436,,0.110339,3.45829
0.110349,-11.6901,,0.110349,3.45959
0.110359,-11.7364,,0.110359,3.46088
0.110369,-11.7825,,0.110369,3.46216
0.110379,-11.8285,,0.110379,3.46343
0.110389,-11.8743,,0.110389,3.46469
0.110399,-11.9199,,0.110399,3.46595
0.110409,-11.9653,,0.110409,3.46719
0.110419,-12.0106,,0.110419,3.46843
0.110429,-12.0557,,0.110429,3.46966
0.110439,-12.1007,,0.110439,3.47088
0.110449,-12.1454,,0.110449,3.47209
0.110459,-12.19,,0.110459,3.47329
0.110469,-12.2345,,0.110469,3.47448
0.110479,-12.2787,,0.110479,3.47567
0.110489,-12.3228,,0.110489,3.47685
0.110499,-12.3667,,0.110499,3.47802
0.110509,-12.4104,,0.110509,3.47918
0.110519,-12.454,,0.110519,3.48033
0.110529,-12.4973,,0.110529,3.48148
0.110539,-12.5405,,0.110539,3.48262
0.110549,-12.5835,,0.110549,3.48375
0.110559,-12.6264,,0.110559,3.48487
0.110569,-12.669,,0.110569,3.48599
0.110579,-12.7115,,0.110579,3.48709
0.110589,-12.7538,,0.110589,3.48819
0.110599,-12.7959,,0.110599,3.48928
0.110609,-12.8379,,0.110609,3.49037
0.110619,-12.8796,,0.110619,3.49145
0.110629,-12.9212,,0.110629,3.49252
0.110639,-12.9626,,0.110639,3.49358
0.110649,-13.0038,,0.110649,3.49464
0.110659,-13.0448,,0.110659,3.49568
0.110669,-13.0856,,0.110669,3.49673
0.110679,-13.1263,,0.110679,3.49776
0.110689,-13.1667,,0.110689,3.49879
0.110699,-13.207,,0.110699,3.49981
0.110709,-13.2471,,0.110709,3.50082
0.110719,-13.287,,0.110719,3.50183
0.110729,-13.3267,,0.110729,3.50283
0.110739,-13.3662,,0.110739,3.50382
0.110749,-13.4055,,0.110749,3.50481
0.110759,-13.4446,,0.110759,3.50579
0.110769,-13.4836,,0.110769,3.50676
0.110779,-13.5223,,0.110779,3.50773
0.110789,-13.5609,,0.110789,3.50869
0.110799,-13.5993,,0.110799,3.50965
0.110809,-13.6374,,0.110809,3.51059
0.110819,-13.6754,,0.110819,3.51154
0.110829,-13.7132,,0.110829,3.51247
0.110839,-13.7508,,0.110839,3.5134
0.110849,-13.7882,,0.110849,3.51433
0.110859,-13.8254,,0.110859,3.51524
0.110869,-13.8624,,0.110869,3.51615
0.110879,-13.8992,,0.110879,3.51706
0.110889,-13.9358,,0.110889,3.51796
0.110899,-13.9722,,0.110899,3.51885
0.110909,-14.0084,,0.110909,3.51974
0.110919,-14.0445,,0.110919,3.52062
0.110929,-14.0803,,0.110929,3.5215
0.110939,-14.1159,,0.110939,3.52237
0.110949,-14.1513,,0.110949,3.52323
0.110959,-14.1865,,0.110959,3.52409
0.110969,-14.2215,,0.110969,3.52494
0.110979,-14.2563,,0.110979,3.52579
0.110989,-14.2909,,0.110989,3.52663
0.110999,-14.3253,,0.110999,3.52747
0.111009,-14.3595,,0.111009,3.5283
0.111019,-14.3935,,0.111019,3.52912
0.111029,-14.4273,,0.111029,3.52994
0.111039,-14.4609,,0.111039,3.53076
0.111049,-14.4943,,0.111049,3.53156
0.111059,-14.5275,,0.111059,3.53237
0.111069,-14.5604,,0.111069,3.53317
0.111079,-14.5932,,0.111079,3.53396
0.111089,-14.6257,,0.111089,3.53475
0.111099,-14.6581,,0.111099,3.53553
0.111109,-14.6902,,0.111109,3.5363
0.111119,-14.7222,,0.111119,3.53707
0.111129,-14.7539,,0.111129,3.53784
0.111139,-14.7854,,0.111139,3.5386
0.111149,-14.8167,,0.111149,3.53936
0.111159,-14.8478,,0.111159,3.54011
0.111169,-14.8786,,0.111169,3.54085
0.111179,-14.9093,,0.111179,3.54159
0.111189,-14.9398,,0.111189,3.54233
0.111199,-14.97,,0.111199,3.54306
0.111209,-15,,0.111209,3.54378
0.111219,-15.0299,,0.111219,3.5445
0.111229,-15.0595,,0.111229,3.54522
0.111239,-15.0888,,0.111239,3.54593
0.111249,-15.118,,0.111249,3.54663
0.111259,-15.147,,0.111259,3.54733
0.111269,-15.1757,,0.111269,3.54803
0.111279,-15.2043,,0.111279,3.54872
0.111289,-15.2326,,0.111289,3.5494
0.111299,-15.2607,,0.111299,3.55008
0.111309,-15.2885,,0.111309,3.55076
0.111319,-15.3162,,0.111319,3.55143
0.111329,-15.3436,,0.111329,3.55209
0.111339,-15.3709,,0.111339,3.55275
0.111349,-15.3979,,0.111349,3.55341
0.111359,-15.4247,,0.111359,3.55406
0.111369,-15.4512,,0.111369,3.5547
0.111379,-15.4776,,0.111379,3.55535
0.111389,-15.5037,,0.111389,3.55598
0.111399,-15.5296,,0.111399,3.55661
0.111409,-15.5553,,0.111409,3.55724
0.111419,-15.5808,,0.111419,3.55786
0.111429,-15.606,,0.111429,3.55848
0.111439,-15.631,,0.111439,3.55909
0.111449,-15.6558,,0.111449,3.5597
0.111459,-15.6804,,0.111459,3.5603
0.111469,-15.7048,,0.111469,3.5609
0.111479,-15.7289,,0.111479,3.56149
0.111489,-15.7528,,0.111489,3.56208
0.111499,-15.7765,,0.111499,3.56266
0.111509,-15.8,,0.111509,3.56324
0.111519,-15.8232,,0.111519,3.56382
0.111529,-15.8462,,0.111529,3.56439
0.111539,-15.869,,0.111539,3.56495
0.111549,-15.8916,,0.111549,3.56551
0.111559,-15.9139,,0.111559,3.56607
0.111569,-15.936,,0.111569,3.56662
