X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0,0,,0,-2.46716e-019
1e-007,0.000639775,,1e-007,-2.46872e-019
2e-007,0.00127955,,2e-007,4.35229e-013
4e-007,0.0025591,,4e-007,2.61139e-012
7.59541e-007,0.00485936,,7.59541e-007,1.70258e-011
1.10321e-006,0.00705809,,1.10321e-006,5.05699e-011
1.71753e-006,0.0109883,,1.71753e-006,1.89855e-010
2.53897e-006,0.0162437,,2.53897e-006,6.099e-010
3.86152e-006,0.024705,,3.86152e-006,2.14774e-009
5.75032e-006,0.0367891,,5.75032e-006,7.08577e-009
8.67882e-006,0.0555249,,8.67882e-006,2.44183e-008
1.29669e-005,0.0829587,,1.29669e-005,8.16861e-008
1.94695e-005,0.12456,,1.94695e-005,2.78897e-007
2.90149e-005,0.185626,,2.90149e-005,9.39538e-007
3.90149e-005,0.249598,,3.90149e-005,2.32551e-006
4.90149e-005,0.313567,,4.90149e-005,4.73064e-006
5.90149e-005,0.377531,,5.90149e-005,8.53792e-006
6.90149e-005,0.44149,,6.90149e-005,1.42191e-005
7.90149e-005,0.505443,,7.90149e-005,2.23574e-005
8.90149e-005,0.569388,,8.90149e-005,3.36701e-005
9.90149e-005,0.633325,,9.90149e-005,4.903e-005
0.000109015,0.697254,,0.000109015,6.9482e-005
0.000119015,0.761172,,0.000119015,9.62522e-005
0.000129015,0.82508,,0.000129015,0.000130746
0.000139015,0.888975,,0.000139015,0.000174532
0.000149015,0.952859,,0.000149015,0.000229316
0.000159015,1.01673,,0.000159015,0.0002969
0.000169015,1.08058,,0.000169015,0.000379137
0.000179015,1.14442,,0.000179015,0.000477888
0.000189015,1.20825,,0.000189015,0.00059498
0.000199015,1.27205,,0.000199015,0.000732169
0.000209015,1.33584,,0.000209015,0.00089112
0.000219015,1.39961,,0.000219015,0.00107339
0.000229015,1.46336,,0.000229015,0.00128041
0.000239015,1.52709,,0.000239015,0.00151351
0.000249015,1.5908,,0.000249015,0.0017739
0.000259015,1.65448,,0.000259015,0.00206267
0.000269015,1.71814,,0.000269015,0.00238081
0.000279015,1.78178,,0.000279015,0.00272924
0.000289015,1.84539,,0.000289015,0.00310876
0.000299015,1.90897,,0.000299015,0.00352011
0.000309015,1.97253,,0.000309015,0.00396397
0.000319015,2.03606,,0.000319015,0.00444094
0.000329015,2.09956,,0.000329015,0.00495157
0.000339015,2.16303,,0.000339015,0.00549636
0.000349015,2.22647,,0.000349015,0.00607576
0.000359015,2.28988,,0.000359015,0.00669019
0.000369015,2.35326,,0.000369015,0.00734003
0.000379015,2.4166,,0.000379015,0.00802562
0.000389015,2.47991,,0.000389015,0.00874727
0.000399015,2.54318,,0.000399015,0.00950527
0.000409015,2.60642,,0.000409015,0.0102999
0.000419015,2.66962,,0.000419015,0.0111313
0.000429015,2.73278,,0.000429015,0.0119999
0.000439015,2.7959,,0.000439015,0.0129057
0.000449015,2.85899,,0.000449015,0.0138489
0.000459015,2.92203,,0.000459015,0.0148298
0.000469015,2.98503,,0.000469015,0.0158485
0.000479015,3.04799,,0.000479015,0.016905
0.000489015,3.1109,,0.000489015,0.0179996
0.000499015,3.17378,,0.000499015,0.0191324
0.000509015,3.2366,,0.000509015,0.0203035
0.000519015,3.29938,,0.000519015,0.0215129
0.000529015,3.36211,,0.000529015,0.0227608
0.000539015,3.4248,,0.000539015,0.0240472
0.000549015,3.48744,,0.000549015,0.0253722
0.000559015,3.55002,,0.000559015,0.0267358
0.000569015,3.61256,,0.000569015,0.0281382
0.000579015,3.67505,,0.000579015,0.0295794
0.000589015,3.73748,,0.000589015,0.0310594
0.000599015,3.79986,,0.000599015,0.0325783
0.000609015,3.86218,,0.000609015,0.0341361
0.000619015,3.92446,,0.000619015,0.0357328
0.000629015,3.98667,,0.000629015,0.0373685
0.000639015,4.04883,,0.000639015,0.0390431
0.000649015,4.11093,,0.000649015,0.0407567
0.000659015,4.17297,,0.000659015,0.0425093
0.000669015,4.23496,,0.000669015,0.044301
0.000679015,4.29688,,0.000679015,0.0461316
0.000689015,4.35874,,0.000689015,0.0480013
0.000699015,4.42054,,0.000699015,0.0499099
0.000709015,4.48228,,0.000709015,0.0518576
0.000719015,4.54395,,0.000719015,0.0538443
0.000729015,4.60556,,0.000729015,0.0558699
0.000739015,4.66711,,0.000739015,0.0579345
0.000749015,4.72858,,0.000749015,0.0600381
0.000759015,4.78999,,0.000759015,0.0621806
0.000769015,4.85134,,0.000769015,0.064362
0.000779015,4.91261,,0.000779015,0.0665823
0.000789015,4.97381,,0.000789015,0.0688415
0.000799015,5.03494,,0.000799015,0.0711394
0.000809015,5.09601,,0.000809015,0.0734762
0.000819015,5.15699,,0.000819015,0.0758518
0.000829015,5.21791,,0.000829015,0.078266
0.000839015,5.27875,,0.000839015,0.080719
0.000849015,5.33952,,0.000849015,0.0832106
0.000859015,5.40021,,0.000859015,0.0857409
0.000869015,5.46082,,0.000869015,0.0883097
0.000879015,5.52136,,0.000879015,0.090917
0.000889015,5.58181,,0.000889015,0.0935628
0.000899015,5.64219,,0.000899015,0.096247
0.000909015,5.70249,,0.000909015,0.0989696
0.000919015,5.76271,,0.000919015,0.101731
0.000929015,5.82284,,0.000929015,0.10453
0.000939015,5.88289,,0.000939015,0.107367
0.000949015,5.94286,,0.000949015,0.110243
0.000959015,6.00275,,0.000959015,0.113157
0.000969015,6.06254,,0.000969015,0.116108
0.000979015,6.12226,,0.000979015,0.119098
0.000989015,6.18188,,0.000989015,0.122126
0.000999015,6.24142,,0.000999015,0.125191
0.00100901,6.30087,,0.00100901,0.128295
0.00101901,6.36023,,0.00101901,0.131436
0.00102901,6.4195,,0.00102901,0.134615
0.00103901,6.47868,,0.00103901,0.137831
0.00104901,6.53776,,0.00104901,0.141085
0.00105901,6.59675,,0.00105901,0.144377
0.00106901,6.65565,,0.00106901,0.147705
0.00107901,6.71446,,0.00107901,0.151072
0.00108901,6.77317,,0.00108901,0.154475
0.00109901,6.83178,,0.00109901,0.157916
0.00110901,6.8903,,0.00110901,0.161393
0.00111901,6.94871,,0.00111901,0.164908
0.00112901,7.00703,,0.00112901,0.16846
0.00113901,7.06525,,0.00113901,0.172049
0.00114901,7.12337,,0.00114901,0.175674
0.00115901,7.18139,,0.00115901,0.179336
0.00116901,7.2393,,0.00116901,0.183035
0.00117901,7.29712,,0.00117901,0.186771
0.00118901,7.35483,,0.00118901,0.190543
0.00119901,7.41243,,0.00119901,0.194351
0.00120901,7.46993,,0.00120901,0.198196
0.00121901,7.52732,,0.00121901,0.202077
0.00122901,7.58461,,0.00122901,0.205994
0.00123901,7.64179,,0.00123901,0.209947
0.00124901,7.69886,,0.00124901,0.213936
0.00125901,7.75582,,0.00125901,0.217961
0.00126901,7.81267,,0.00126901,0.222022
0.00127901,7.86941,,0.00127901,0.226118
0.00128901,7.92603,,0.00128901,0.230251
0.00129901,7.98255,,0.00129901,0.234418
0.00130901,8.03895,,0.00130901,0.238621
0.00131901,8.09524,,0.00131901,0.24286
0.00132901,8.15141,,0.00132901,0.247134
0.00133901,8.20747,,0.00133901,0.251443
0.00134901,8.2634,,0.00134901,0.255787
0.00135901,8.31923,,0.00135901,0.260166
0.00136901,8.37493,,0.00136901,0.26458
0.00137901,8.43051,,0.00137901,0.269028
0.00138901,8.48598,,0.00138901,0.273512
0.00139901,8.54132,,0.00139901,0.27803
0.00140901,8.59655,,0.00140901,0.282582
0.00141901,8.65165,,0.00141901,0.287169
0.00142901,8.70662,,0.00142901,0.29179
0.00143901,8.76148,,0.00143901,0.296446
0.00144901,8.81621,,0.00144901,0.301135
0.00145901,8.87081,,0.00145901,0.305859
0.00146901,8.92529,,0.00146901,0.310616
0.00147901,8.97964,,0.00147901,0.315407
0.00148901,9.03386,,0.00148901,0.320232
0.00149901,9.08796,,0.00149901,0.32509
0.00150901,9.14193,,0.00150901,0.329982
0.00151901,9.19576,,0.00151901,0.334907
0.00152901,9.24947,,0.00152901,0.339866
0.00153901,9.30304,,0.00153901,0.344858
0.00154901,9.35648,,0.00154901,0.349882
0.00155901,9.40979,,0.00155901,0.35494
0.00156901,9.46297,,0.00156901,0.36003
0.00157901,9.51601,,0.00157901,0.365154
0.00158901,9.56891,,0.00158901,0.37031
0.00159901,9.62168,,0.00159901,0.375498
0.00160901,9.67431,,0.00160901,0.380719
0.00161901,9.72681,,0.00161901,0.385972
0.00162901,9.77917,,0.00162901,0.391257
0.00163901,9.83138,,0.00163901,0.396574
0.00164901,9.88346,,0.00164901,0.401923
0.00165901,9.9354,,0.00165901,0.407304
0.00166901,9.9872,,0.00166901,0.412717
0.00167901,10.0389,,0.00167901,0.418161
0.00168901,10.0904,,0.00168901,0.423637
0.00169901,10.1417,,0.00169901,0.429144
0.00170901,10.193,,0.00170901,0.434683
0.00171901,10.244,,0.00171901,0.440252
0.00172901,10.295,,0.00172901,0.445853
0.00173901,10.3458,,0.00173901,0.451484
0.00174901,10.3964,,0.00174901,0.457146
0.00175901,10.4469,,0.00175901,0.462839
0.00176901,10.4972,,0.00176901,0.468563
0.00177901,10.5474,,0.00177901,0.474317
0.00178901,10.5975,,0.00178901,0.480101
0.00179901,10.6474,,0.00179901,0.485915
0.00180901,10.6971,,0.00180901,0.49176
0.00181901,10.7467,,0.00181901,0.497634
0.00182901,10.7961,,0.00182901,0.503538
0.00183901,10.8454,,0.00183901,0.509472
0.00184901,10.8946,,0.00184901,0.515435
0.00185901,10.9435,,0.00185901,0.521428
0.00186901,10.9924,,0.00186901,0.52745
0.00187901,11.041,,0.00187901,0.533502
0.00188901,11.0895,,0.00188901,0.539582
0.00189901,11.1379,,0.00189901,0.545692
0.00190901,11.1861,,0.00190901,0.55183
0.00191901,11.2341,,0.00191901,0.557997
0.00192901,11.282,,0.00192901,0.564192
0.00193901,11.3297,,0.00193901,0.570416
0.00194901,11.3772,,0.00194901,0.576668
0.00195901,11.4246,,0.00195901,0.582949
0.00196901,11.4719,,0.00196901,0.589257
0.00197901,11.5189,,0.00197901,0.595594
0.00198901,11.5658,,0.00198901,0.601958
0.00199901,11.6126,,0.00199901,0.60835
0.00200901,11.6591,,0.00200901,0.614769
0.00201901,11.7055,,0.00201901,0.621216
0.00202901,11.7518,,0.00202901,0.62769
0.00203901,11.7978,,0.00203901,0.634191
0.00204901,11.8437,,0.00204901,0.640719
0.00205901,11.8895,,0.00205901,0.647274
0.00206901,11.9351,,0.00206901,0.653856
0.00207901,11.9804,,0.00207901,0.660464
0.00208901,12.0257,,0.00208901,0.667099
0.00209901,12.0707,,0.00209901,0.67376
0.00210901,12.1156,,0.00210901,0.680447
0.00211901,12.1603,,0.00211901,0.687161
0.00212901,12.2049,,0.00212901,0.6939
0.00213901,12.2492,,0.00213901,0.700665
0.00214901,12.2934,,0.00214901,0.707456
0.00215901,12.3374,,0.00215901,0.714272
0.00216901,12.3813,,0.00216901,0.721114
0.00217901,12.425,,0.00217901,0.727981
0.00218901,12.4684,,0.00218901,0.734873
0.00219901,12.5118,,0.00219901,0.74179
0.00220901,12.5549,,0.00220901,0.748731
0.00221901,12.5978,,0.00221901,0.755698
0.00222901,12.6406,,0.00222901,0.762689
0.00223901,12.6832,,0.00223901,0.769704
0.00224901,12.7256,,0.00224901,0.776744
0.00225901,12.7679,,0.00225901,0.783808
0.00226901,12.8099,,0.00226901,0.790896
0.00227901,12.8518,,0.00227901,0.798007
0.00228901,12.8935,,0.00228901,0.805143
0.00229901,12.935,,0.00229901,0.812302
0.00230901,12.9763,,0.00230901,0.819484
0.00231901,13.0175,,0.00231901,0.826689
0.00232901,13.0584,,0.00232901,0.833918
0.00233901,13.0992,,0.00233901,0.84117
0.00234901,13.1398,,0.00234901,0.848445
0.00235901,13.1802,,0.00235901,0.855742
0.00236901,13.2204,,0.00236901,0.863062
0.00237901,13.2604,,0.00237901,0.870404
0.00238901,13.3002,,0.00238901,0.877768
0.00239901,13.3399,,0.00239901,0.885155
0.00240901,13.3793,,0.00240901,0.892564
0.00241901,13.4186,,0.00241901,0.899994
0.00242901,13.4576,,0.00242901,0.907446
0.00243901,13.4965,,0.00243901,0.91492
0.00244901,13.5352,,0.00244901,0.922415
0.00245901,13.5737,,0.00245901,0.929931
0.00246901,13.612,,0.00246901,0.937469
0.00247901,13.6501,,0.00247901,0.945027
0.00248901,13.688,,0.00248901,0.952606
0.00249901,13.7258,,0.00249901,0.960206
0.00250901,13.7633,,0.00250901,0.967826
0.00251901,13.8006,,0.00251901,0.975467
0.00252901,13.8378,,0.00252901,0.983128
0.00253901,13.8747,,0.00253901,0.990809
0.00254901,13.9114,,0.00254901,0.998509
0.00255901,13.948,,0.00255901,1.00623
0.00256901,13.9843,,0.00256901,1.01397
0.00257901,14.0205,,0.00257901,1.02173
0.00258901,14.0564,,0.00258901,1.02951
0.00259901,14.0922,,0.00259901,1.03731
0.00260901,14.1277,,0.00260901,1.04512
0.00261901,14.1631,,0.00261901,1.05296
0.00262901,14.1982,,0.00262901,1.06081
0.00263901,14.2332,,0.00263901,1.06869
0.00264901,14.2679,,0.00264901,1.07658
0.00265901,14.3024,,0.00265901,1.08449
0.00266901,14.3368,,0.00266901,1.09242
0.00267901,14.3709,,0.00267901,1.10036
0.00268901,14.4048,,0.00268901,1.10833
0.00269901,14.4385,,0.00269901,1.11631
0.00270901,14.4721,,0.00270901,1.12431
0.00271901,14.5054,,0.00271901,1.13232
0.00272901,14.5385,,0.00272901,1.14035
0.00273901,14.5714,,0.00273901,1.1484
0.00274901,14.6041,,0.00274901,1.15647
0.00275901,14.6366,,0.00275901,1.16456
0.00276901,14.6688,,0.00276901,1.17266
0.00277901,14.7009,,0.00277901,1.18077
0.00278901,14.7328,,0.00278901,1.1889
0.00279901,14.7644,,0.00279901,1.19705
0.00280901,14.7958,,0.00280901,1.20522
0.00281901,14.8271,,0.00281901,1.2134
0.00282901,14.8581,,0.00282901,1.22159
0.00283901,14.8889,,0.00283901,1.22981
0.00284901,14.9195,,0.00284901,1.23803
0.00285901,14.9499,,0.00285901,1.24628
0.00286901,14.98,,0.00286901,1.25453
0.00287901,15.01,,0.00287901,1.2628
0.00288901,15.0397,,0.00288901,1.27109
0.00289901,15.0693,,0.00289901,1.27939
0.00290901,15.0986,,0.00290901,1.28771
0.00291901,15.1277,,0.00291901,1.29604
0.00292901,15.1566,,0.00292901,1.30438
0.00293901,15.1853,,0.00293901,1.31274
0.00294901,15.2137,,0.00294901,1.32111
0.00295901,15.242,,0.00295901,1.32949
0.00296901,15.27,,0.00296901,1.33789
0.00297901,15.2978,,0.00297901,1.3463
0.00298901,15.3254,,0.00298901,1.35473
0.00299901,15.3527,,0.00299901,1.36316
0.00300901,15.3799,,0.00300901,1.37161
0.00301901,15.4068,,0.00301901,1.38007
0.00302901,15.4335,,0.00302901,1.38855
0.00303901,15.46,,0.00303901,1.39704
0.00304901,15.4863,,0.00304901,1.40554
0.00305901,15.5124,,0.00305901,1.41405
0.00306901,15.5382,,0.00306901,1.42257
0.00307901,15.5638,,0.00307901,1.4311
0.00308901,15.5892,,0.00308901,1.43965
0.00309901,15.6144,,0.00309901,1.44821
0.00310901,15.6393,,0.00310901,1.45678
0.00311901,15.6641,,0.00311901,1.46535
0.00312901,15.6886,,0.00312901,1.47395
0.00313901,15.7128,,0.00313901,1.48255
0.00314901,15.7369,,0.00314901,1.49116
0.00315901,15.7607,,0.00315901,1.49978
0.00316901,15.7844,,0.00316901,1.50841
0.00317901,15.8077,,0.00317901,1.51705
0.00318901,15.8309,,0.00318901,1.5257
0.00319901,15.8538,,0.00319901,1.53436
0.00320901,15.8766,,0.00320901,1.54304
0.00321901,15.899,,0.00321901,1.55172
0.00322901,15.9213,,0.00322901,1.5604
0.00323901,15.9433,,0.00323901,1.5691
0.00324901,15.9651,,0.00324901,1.57781
0.00325901,15.9867,,0.00325901,1.58653
0.00326901,16.0081,,0.00326901,1.59525
0.00327901,16.0292,,0.00327901,1.60398
0.00328901,16.0501,,0.00328901,1.61272
0.00329901,16.0708,,0.00329901,1.62147
0.00330901,16.0912,,0.00330901,1.63023
0.00331901,16.1114,,0.00331901,1.63899
0.00332901,16.1314,,0.00332901,1.64777
0.00333901,16.1512,,0.00333901,1.65655
0.00334901,16.1707,,0.00334901,1.66533
0.00335901,16.19,,0.00335901,1.67413
0.00336901,16.209,,0.00336901,1.68293
0.00337901,16.2279,,0.00337901,1.69173
0.00338901,16.2465,,0.00338901,1.70055
0.00339901,16.2649,,0.00339901,1.70937
0.00340901,16.283,,0.00340901,1.71819
0.00341901,16.3009,,0.00341901,1.72703
0.00342901,16.3186,,0.00342901,1.73586
0.00343901,16.336,,0.00343901,1.74471
0.00344901,16.3532,,0.00344901,1.75356
0.00345901,16.3702,,0.00345901,1.76241
0.00346901,16.387,,0.00346901,1.77127
0.00347901,16.4035,,0.00347901,1.78014
0.00348901,16.4198,,0.00348901,1.78901
0.00349901,16.4358,,0.00349901,1.79788
0.00350901,16.4516,,0.00350901,1.80676
0.00351901,16.4672,,0.00351901,1.81565
0.00352901,16.4826,,0.00352901,1.82453
0.00353901,16.4977,,0.00353901,1.83343
0.00354901,16.5126,,0.00354901,1.84232
0.00355901,16.5272,,0.00355901,1.85122
0.00356901,16.5416,,0.00356901,1.86013
0.00357901,16.5558,,0.00357901,1.86903
0.00358901,16.5697,,0.00358901,1.87794
0.00359901,16.5835,,0.00359901,1.88685
0.00360901,16.5969,,0.00360901,1.89577
0.00361901,16.6102,,0.00361901,1.90469
0.00362901,16.6232,,0.00362901,1.91361
0.00363901,16.6359,,0.00363901,1.92253
0.00364901,16.6484,,0.00364901,1.93146
0.00365901,16.6607,,0.00365901,1.94039
0.00366901,16.6728,,0.00366901,1.94932
0.00367901,16.6846,,0.00367901,1.95825
0.00368901,16.6962,,0.00368901,1.96718
0.00369901,16.7075,,0.00369901,1.97612
0.00370901,16.7186,,0.00370901,1.98505
0.00371901,16.7295,,0.00371901,1.99399
0.00372901,16.7401,,0.00372901,2.00293
0.00373901,16.7505,,0.00373901,2.01187
0.00374901,16.7606,,0.00374901,2.02081
0.00375901,16.7706,,0.00375901,2.02975
0.00376901,16.7802,,0.00376901,2.03869
0.00377901,16.7897,,0.00377901,2.04763
0.00378901,16.7989,,0.00378901,2.05657
0.00379901,16.8078,,0.00379901,2.0655
0.00380901,16.8165,,0.00380901,2.07444
0.00381901,16.825,,0.00381901,2.08338
0.00382901,16.8333,,0.00382901,2.09232
0.00383901,16.8413,,0.00383901,2.10126
0.00384901,16.849,,0.00384901,2.11019
0.00385901,16.8565,,0.00385901,2.11913
0.00386901,16.8638,,0.00386901,2.12806
0.00387901,16.8709,,0.00387901,2.13699
0.00388901,16.8777,,0.00388901,2.14592
0.00389901,16.8842,,0.00389901,2.15485
0.00390901,16.8906,,0.00390901,2.16378
0.00391901,16.8967,,0.00391901,2.1727
0.00392901,16.9025,,0.00392901,2.18162
0.00393901,16.9081,,0.00393901,2.19054
0.00394901,16.9135,,0.00394901,2.19946
0.00395901,16.9186,,0.00395901,2.20837
0.00396901,16.9235,,0.00396901,2.21728
0.00397901,16.9281,,0.00397901,2.22619
0.00398901,16.9325,,0.00398901,2.23509
0.00399901,16.9367,,0.00399901,2.24399
0.00400901,16.9406,,0.00400901,2.25289
0.00401901,16.9443,,0.00401901,2.26178
0.00402901,16.9477,,0.00402901,2.27067
0.00403901,16.9509,,0.00403901,2.27955
0.00404901,16.9539,,0.00404901,2.28843
0.00405901,16.9566,,0.00405901,2.29731
0.00406901,16.9591,,0.00406901,2.30618
0.00407901,16.9613,,0.00407901,2.31504
0.00408901,16.9633,,0.00408901,2.3239
0.00409901,16.965,,0.00409901,2.33276
0.00410901,16.9666,,0.00410901,2.34161
0.00411901,16.9678,,0.00411901,2.35045
0.00412901,16.9689,,0.00412901,2.35929
0.00413901,16.9696,,0.00413901,2.36813
0.00414901,16.9702,,0.00414901,2.37695
0.00415901,16.9705,,0.00415901,2.38577
0.00416901,16.9706,,0.00416901,2.39459
0.00417901,16.9704,,0.00417901,2.4034
0.00418901,16.97,,0.00418901,2.4122
0.00419901,16.9693,,0.00419901,2.42099
0.00420901,16.9684,,0.00420901,2.42978
0.00421901,16.9673,,0.00421901,2.43856
0.00422901,16.9659,,0.00422901,2.44733
0.00423901,16.9643,,0.00423901,2.4561
0.00424901,16.9624,,0.00424901,2.46486
0.00425901,16.9603,,0.00425901,2.47361
0.00426901,16.9579,,0.00426901,2.48235
0.00427901,16.9553,,0.00427901,2.49108
0.00428901,16.9525,,0.00428901,2.49981
0.00429901,16.9494,,0.00429901,2.50853
0.00430901,16.9461,,0.00430901,2.51724
0.00431901,16.9426,,0.00431901,2.52594
0.00432901,16.9388,,0.00432901,2.53463
0.00433901,16.9348,,0.00433901,2.54331
0.00434901,16.9305,,0.00434901,2.55198
0.00435901,16.926,,0.00435901,2.56064
0.00436901,16.9212,,0.00436901,2.5693
0.00437901,16.9162,,0.00437901,2.57794
0.00438901,16.911,,0.00438901,2.58658
0.00439901,16.9055,,0.00439901,2.5952
0.00440901,16.8998,,0.00440901,2.60381
0.00441901,16.8938,,0.00441901,2.61242
0.00442901,16.8876,,0.00442901,2.62101
0.00443901,16.8812,,0.00443901,2.62959
0.00444901,16.8745,,0.00444901,2.63817
0.00445901,16.8676,,0.00445901,2.64673
0.00446901,16.8604,,0.00446901,2.65528
0.00447901,16.853,,0.00447901,2.66381
